target,stop,daily,retain,threshold,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,final_value,robust_score
0.0275,16.0,0.12,0.1,0.1,0.075,39.034504131390314,-45.566515275564164,43.57169739599618,-47.48634493969152,40.801400320604216,-47.57233865988242,2057942.1925878546,20.826265759886226
0.0275,16.0,0.105,0.105,0.075,0.125,36.73133296579285,-42.59384343566921,39.8955440891946,-41.73898098089947,38.011747831834256,-42.59384343566921,1507084.6594305648,20.71601387011802
0.027,16.0,0.115,0.1,0.1,0.1,38.28094501287473,-43.41297239073755,44.134927515888435,-45.62175419016577,40.51057566127372,-45.697387718093296,1992756.3388862973,20.264437170261914
0.027,16.0,0.11,0.08,0.075,0.125,37.099580851852295,-42.20149452865981,42.647253626164705,-43.68280654464527,39.18624844322367,-43.80010169542384,1719610.7727360444,19.86891309021711
0.026,16.0,0.12,0.085,0.1,0.125,38.377486875863084,-44.30123134481734,44.54225189182721,-47.54370507645944,40.68615473614874,-47.63926062135618,2031875.7966522193,19.57952234351484
0.027,16.0,0.115,0.07,0.075,0.075,37.230115087019925,-43.238157402779684,42.4834623459603,-45.49547919990137,39.270878800684606,-45.53956159659522,1735960.186786936,19.46802582642532
0.0255,16.0,0.105,0.1,0.075,0.2,36.030570963106335,-41.54768288933728,41.62268164048282,-41.83545867187617,38.14472292293263,-41.94674450328218,1529849.2624785223,19.43092169086791
0.0275,16.0,0.105,0.11,0.1,0.15,35.63602163485846,-43.113569612683946,38.948240339373385,-41.76422392450635,36.987395936102565,-43.113569612683946,1342053.9440306854,19.386995723838858
0.0275,16.0,0.12,0.09,0.05,0.1,38.19762435233105,-47.59010214756043,44.70981499480533,-47.46807804346266,40.64304067294424,-47.77213933701282,2022203.8615329775,19.2618218758189
0.026,16.0,0.12,0.06,0.0,0.05,37.77391377834927,-43.36131614170646,44.79647031492444,-46.730282242730375,40.423911098887274,-46.816265348723206,1973708.1143347165,18.960420205592325
0.0275,16.0,0.1,0.08,0.075,0.075,34.70258367120365,-42.16700341421907,37.67471349858846,-39.833243347962984,35.92899757844654,-42.16700341421907,1189408.5253703087,18.903887036642292
0.0255,16.0,0.11,0.075,0.075,0.075,36.262170193608846,-42.27762946804827,42.07976953630781,-43.78688175411616,38.44497062114376,-43.87068146365182,1582438.8896791418,18.900601809723558
0.027,16.0,0.11,0.055,0.075,0.075,35.35716481437421,-42.32983211393573,39.61908972929709,-42.95083926648409,37.04270203586564,-43.07286304294789,1350513.6980080376,18.83269735088177
0.025,16.0,0.115,0.08,0.075,0.05,36.8754728292392,-43.332272676256395,42.9079872612522,-45.705619065581566,39.138081820887,-45.790175603705805,1710370.103195044,18.767126105081104
0.0255,16.0,0.115,0.06,0.075,0.125,36.25187083164476,-43.0858929153947,41.42976294118683,-45.02299401533117,38.25792497776417,-45.10732659413032,1549481.9803805046,18.681560687939125
0.0255,16.0,0.12,0.015,0.0,0.075,35.28277196132525,-40.03973176136826,38.40582066231204,-44.565507130668045,36.55740379797421,-44.661705814128645,1277952.7814019867,18.591777420246064
0.0265,16.0,0.115,0.095,0.1,0.1,37.05676257409536,-43.41214949636157,44.803533849650236,-45.61395130339022,39.942208516709535,-45.714003050720194,1870901.6653798544,18.380509671464573
0.025,16.0,0.11,0.095,0.1,0.05,35.69681158589377,-42.85302686531386,41.62756525986595,-43.759724605716514,37.92072825021269,-43.87640897607189,1491685.7769978736,18.305144188002725
0.026,16.0,0.115,0.06,0.05,0.05,36.234989614330445,-44.32557987809457,42.64391588449756,-44.9876638259686,38.70504787712419,-45.0845042493167,1629355.014640271,18.246183080682947
0.026,16.0,0.115,0.07,0.05,0.1,36.688688763166354,-44.608743175188536,43.991410460178294,-45.484926408398195,39.43976603583468,-45.5715540360919,1769022.5653090847,18.21301192627281
0.026,16.0,0.095,0.075,0.075,0.15,33.171554877164475,-38.4405613895224,37.51352432873707,-37.94472243686041,34.91864349406511,-38.4405613895224,1058985.8803939247,18.197669082781225
0.023,16.0,0.115,0.11,0.075,0.1,36.609266674441244,-42.78494426318882,44.04280537509286,-45.747559987394006,39.399636629709846,-45.86314316587502,1761113.646888963,17.995882133625276
0.026,16.0,0.115,0.02,0.075,0.075,34.01148483864469,-42.790904434270985,36.7928098664976,-42.98863619406708,35.12460029399853,-43.142252311955204,1084433.5150092551,17.9919984109727
0.027,16.0,0.115,0.055,0.1,0.2,35.302231823791395,-43.46917185985615,40.283543912100804,-44.68486335733496,37.212699674562664,-44.81157756550537,1376830.4314849228,17.919070417815867
0.026,16.0,0.1,0.055,0.075,0.15,33.241565460611035,-39.797821790619686,37.36042011357783,-39.48936647072096,34.86794370406021,-39.797821790619686,1052807.7961678226,17.870728705355766
0.0275,16.0,0.12,0.1,0.125,0.1,36.84198096598985,-48.894513487502735,42.22034893979403,-47.46624893175259,38.82428911148317,-48.894513487502735,1651297.6677498135,17.84647245453243
0.025,16.0,0.1,0.075,0.075,0.075,33.475457097562675,-40.40574360423971,38.08799460018712,-39.97483543930775,35.301984269138465,-40.40574360423971,1106808.2568673193,17.719058710160223
0.025,16.0,0.12,0.06,0.05,0.075,36.218623925498946,-45.30960665859076,42.299439340684586,-46.795196133042786,38.508113310015176,-46.85748706181587,1593711.744375696,17.712019883619
0.026,16.0,0.11,0.075,0.0,0.2,36.038832888562645,-43.040391380168025,44.667118276897135,-43.757222281378475,39.267186673775846,-43.851288386675655,1735243.89499498,17.70390520416311
0.027,16.0,0.12,0.1,0.125,0.2,36.975321029707445,-48.05103464534169,44.109621418847354,-47.51680979574292,39.57816622425003,-48.05103464534169,1796554.9365817956,17.660453767638888
