RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
35,70,0.04,0.02,36.65520136936456,-39.922534468787674,38.89569145009756,-39.81712173831904,37.58674555407532,-39.977155626002855,21.898142777032326
35,70,0.035,0.02,36.45074998502753,-40.25871666881974,38.66564137308248,-39.85772083962079,37.37493051239008,-40.25871666881974,21.58498716512139
30,70,0.04,0.02,36.44338589369033,-40.3742450248015,38.540598110394086,-39.92644631907382,37.31722635337866,-40.3742450248015,21.578375859163497
35,70,0.032,0.02,36.36835390444264,-40.271155941349065,38.41387335727006,-39.8588657415351,37.250492793553946,-40.271155941349065,21.557517516480875
30,70,0.035,0.02,36.34830839030434,-40.386628508931125,38.540598110394086,-39.92644631907382,37.25783761941909,-40.386628508931125,21.445687010147036
30,70,0.045,0.02,36.26513492928018,-40.35915402051153,38.54118681573314,-39.90954047157521,37.20414363377145,-40.35915402051153,21.342812861842607
30,70,0.032,0.02,36.131309554836065,-40.38884619456341,38.279541334121916,-39.87573483518818,37.041227443428824,-40.38884619456341,21.243332263988822
25,70,0.032,0.02,36.05950839420345,-40.40117384904512,38.26179855247588,-39.86273304586866,36.966396951732776,-40.40117384904512,21.148295991642307
25,70,0.035,0.02,36.05767402550276,-40.40346145110437,38.26179855247588,-39.86273304586866,36.963012706454265,-40.40346145110437,21.145018933175646
25,70,0.04,0.02,36.05311419791971,-40.40678652993578,38.26179855247588,-39.86273304586866,36.96181339016965,-40.40678652993578,21.13769938834753
35,70,0.04,0.023,36.37108491919719,-39.92077320369549,40.04727384403077,-39.89838546360433,37.85243569676072,-39.97501096504548,21.112148174212017
35,65,0.04,0.025,36.31237580952572,-39.91903668363307,39.97603379696747,-39.842970811420564,37.75187464504816,-39.97623900312578,21.05843267464953
25,70,0.045,0.02,35.86933838253768,-40.404668967436976,38.26179855247588,-39.86273304586866,36.842503982901405,-40.404668967436976,20.890343184456366
